Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,7,0.61,symmetric,0.2625069193891901
75% Corpus,7,0.9099999999999999,0.01,0.17540143348056955
75% Corpus,7,0.9099999999999999,0.31,0.1816936018198536
75% Corpus,7,0.9099999999999999,0.61,0.18265184935397172
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.1790193172972391
75% Corpus,7,0.9099999999999999,symmetric,0.18293252223491502
75% Corpus,7,symmetric,0.01,0.3012628866294097
75% Corpus,7,symmetric,0.31,0.29995636857847086
75% Corpus,7,symmetric,0.61,0.2969426583468299
75% Corpus,7,symmetric,0.9099999999999999,0.3122525570501546
75% Corpus,7,symmetric,symmetric,0.3031072984966751
75% Corpus,7,asymmetric,0.01,0.33676720647075614
75% Corpus,7,asymmetric,0.31,0.3275153776502888
75% Corpus,7,asymmetric,0.61,0.3609712475076866
75% Corpus,7,asymmetric,0.9099999999999999,0.3816163465219335
75% Corpus,7,asymmetric,symmetric,0.3767386842016795
75% Corpus,8,0.01,0.01,0.29515714256540626
75% Corpus,8,0.01,0.31,0.2866665236674183
75% Corpus,8,0.01,0.61,0.3016445153476839
75% Corpus,8,0.01,0.9099999999999999,0.2973537061932616
75% Corpus,8,0.01,symmetric,0.2637192939039624
75% Corpus,8,0.31,0.01,0.25751071861645247
75% Corpus,8,0.31,0.31,0.25241606552481866
75% Corpus,8,0.31,0.61,0.251828837367933
75% Corpus,8,0.31,0.9099999999999999,0.25303261302350516
75% Corpus,8,0.31,symmetric,0.25615289303323374
75% Corpus,8,0.61,0.01,0.2274405282871305
75% Corpus,8,0.61,0.31,0.22341386776944683
75% Corpus,8,0.61,0.61,0.22208890281498103
75% Corpus,8,0.61,0.9099999999999999,0.22073063657944525
75% Corpus,8,0.61,symmetric,0.22338459367740726
75% Corpus,8,0.9099999999999999,0.01,0.16816608749274087
75% Corpus,8,0.9099999999999999,0.31,0.16663599155294714
75% Corpus,8,0.9099999999999999,0.61,0.16740291425723874
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.1674029142572388
75% Corpus,8,0.9099999999999999,symmetric,0.15902419928062306
75% Corpus,8,symmetric,0.01,0.2557795385631607
75% Corpus,8,symmetric,0.31,0.2572429117976472
75% Corpus,8,symmetric,0.61,0.24535950148223593
75% Corpus,8,symmetric,0.9099999999999999,0.2709875674359973
75% Corpus,8,symmetric,symmetric,0.2826639315759306
75% Corpus,8,asymmetric,0.01,0.3521203968258584
75% Corpus,8,asymmetric,0.31,0.4199864082476611
75% Corpus,8,asymmetric,0.61,0.40195635030216226
75% Corpus,8,asymmetric,0.9099999999999999,0.3958669460396092
75% Corpus,8,asymmetric,symmetric,0.42593779656482184
75% Corpus,9,0.01,0.01,0.2779969374725917
75% Corpus,9,0.01,0.31,0.2968391434191736
75% Corpus,9,0.01,0.61,0.3050876260569781
75% Corpus,9,0.01,0.9099999999999999,0.30843553873826074
75% Corpus,9,0.01,symmetric,0.2921026614461359
75% Corpus,9,0.31,0.01,0.2584157306304858
75% Corpus,9,0.31,0.31,0.26529337659952557
75% Corpus,9,0.31,0.61,0.2622500029364534
75% Corpus,9,0.31,0.9099999999999999,0.2639354160360161
75% Corpus,9,0.31,symmetric,0.2631284994319828
75% Corpus,9,0.61,0.01,0.2427823380329292
75% Corpus,9,0.61,0.31,0.2232134568979628
75% Corpus,9,0.61,0.61,0.21839902369784403
75% Corpus,9,0.61,0.9099999999999999,0.2100208934273142
75% Corpus,9,0.61,symmetric,0.23002033506324437
75% Corpus,9,0.9099999999999999,0.01,0.15351234789965695
75% Corpus,9,0.9099999999999999,0.31,0.15284072709009508
75% Corpus,9,0.9099999999999999,0.61,0.1494617679530099
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.1501568655731721
75% Corpus,9,0.9099999999999999,symmetric,0.15878334332286623
75% Corpus,9,symmetric,0.01,0.2713521724802334
75% Corpus,9,symmetric,0.31,0.2781512670550025
75% Corpus,9,symmetric,0.61,0.26843483428846515
75% Corpus,9,symmetric,0.9099999999999999,0.293502866804032
75% Corpus,9,symmetric,symmetric,0.28121869173794356
75% Corpus,9,asymmetric,0.01,0.3283697840957738
75% Corpus,9,asymmetric,0.31,0.3761266100497226
75% Corpus,9,asymmetric,0.61,0.4255569574645647
75% Corpus,9,asymmetric,0.9099999999999999,0.38580598574391245
75% Corpus,9,asymmetric,symmetric,0.3867123320539223
75% Corpus,10,0.01,0.01,0.2699079539933023
75% Corpus,10,0.01,0.31,0.28091007144316726
75% Corpus,10,0.01,0.61,0.3144078861271847
75% Corpus,10,0.01,0.9099999999999999,0.31054599609553185
75% Corpus,10,0.01,symmetric,0.28272142283711
75% Corpus,10,0.31,0.01,0.27511440216614663
75% Corpus,10,0.31,0.31,0.27693280397242626
75% Corpus,10,0.31,0.61,0.26141788056224596
75% Corpus,10,0.31,0.9099999999999999,0.25981687250905655
75% Corpus,10,0.31,symmetric,0.28053276761598256
75% Corpus,10,0.61,0.01,0.22824909667962312
75% Corpus,10,0.61,0.31,0.21140779093166132
75% Corpus,10,0.61,0.61,0.2099896936151316
75% Corpus,10,0.61,0.9099999999999999,0.2069188350440204
75% Corpus,10,0.61,symmetric,0.21929750573385626
75% Corpus,10,0.9099999999999999,0.01,0.15287431140864977
75% Corpus,10,0.9099999999999999,0.31,0.15108338651700798
75% Corpus,10,0.9099999999999999,0.61,0.15269858478707993
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.1433628629165726
75% Corpus,10,0.9099999999999999,symmetric,0.16104272335113223
75% Corpus,10,symmetric,0.01,0.25265020941824873
75% Corpus,10,symmetric,0.31,0.24866797327255527
75% Corpus,10,symmetric,0.61,0.2584947223307064
75% Corpus,10,symmetric,0.9099999999999999,0.2761725371973309
75% Corpus,10,symmetric,symmetric,0.26042014304235084
75% Corpus,10,asymmetric,0.01,0.32063035608152346
75% Corpus,10,asymmetric,0.31,0.38258805037810617
75% Corpus,10,asymmetric,0.61,0.35726372392392164
75% Corpus,10,asymmetric,0.9099999999999999,0.3470513774377828
75% Corpus,10,asymmetric,symmetric,0.3528557734772903
75% Corpus,11,0.01,0.01,0.2691584069414939
75% Corpus,11,0.01,0.31,0.2803371735099634
75% Corpus,11,0.01,0.61,0.30907265308571713
75% Corpus,11,0.01,0.9099999999999999,0.3137671080856225
75% Corpus,11,0.01,symmetric,0.2720050127450598
75% Corpus,11,0.31,0.01,0.2577915684178916
75% Corpus,11,0.31,0.31,0.25777763879092036
75% Corpus,11,0.31,0.61,0.2700680379269914
75% Corpus,11,0.31,0.9099999999999999,0.26564623636630796
75% Corpus,11,0.31,symmetric,0.26257676375089195
75% Corpus,11,0.61,0.01,0.2213175544907922
75% Corpus,11,0.61,0.31,0.21814807563712169
75% Corpus,11,0.61,0.61,0.21062177698326412
75% Corpus,11,0.61,0.9099999999999999,0.20698604010915922
75% Corpus,11,0.61,symmetric,0.22718267829965635
75% Corpus,11,0.9099999999999999,0.01,0.14924249059414788
75% Corpus,11,0.9099999999999999,0.31,0.14836195734921978
75% Corpus,11,0.9099999999999999,0.61,0.1472913656562471
75% Corpus,11,0.9099999999999999,0.9099999999999999,0.14337264947722736
75% Corpus,11,0.9099999999999999,symmetric,0.1517664347424817
75% Corpus,11,symmetric,0.01,0.2979345402622141
75% Corpus,11,symmetric,0.31,0.33243101750915416
75% Corpus,11,symmetric,0.61,0.31482161873698816
75% Corpus,11,symmetric,0.9099999999999999,0.3346238362914588
75% Corpus,11,symmetric,symmetric,0.32207416334985994
75% Corpus,11,asymmetric,0.01,0.3254624628489813
75% Corpus,11,asymmetric,0.31,0.3943912392430633
75% Corpus,11,asymmetric,0.61,0.40082790246687805
75% Corpus,11,asymmetric,0.9099999999999999,0.4076789644183119
75% Corpus,11,asymmetric,symmetric,0.3475252533693144
75% Corpus,12,0.01,0.01,0.2592349755627456
75% Corpus,12,0.01,0.31,0.26546757758644896
75% Corpus,12,0.01,0.61,0.28157021317370273
75% Corpus,12,0.01,0.9099999999999999,0.29784791923586323
75% Corpus,12,0.01,symmetric,0.25981261166726966
75% Corpus,12,0.31,0.01,0.24939127006774767
75% Corpus,12,0.31,0.31,0.25041203036616677
75% Corpus,12,0.31,0.61,0.25337626122734347
75% Corpus,12,0.31,0.9099999999999999,0.2615160064726249
75% Corpus,12,0.31,symmetric,0.2532857332916793
75% Corpus,12,0.61,0.01,0.22776140163120218
75% Corpus,12,0.61,0.31,0.2056492152322119
75% Corpus,12,0.61,0.61,0.2120005292262682
75% Corpus,12,0.61,0.9099999999999999,0.20324877318575132
75% Corpus,12,0.61,symmetric,0.22274974566566386
75% Corpus,12,0.9099999999999999,0.01,0.147908204321883
75% Corpus,12,0.9099999999999999,0.31,0.14248899487388164
75% Corpus,12,0.9099999999999999,0.61,0.13419790762970732
75% Corpus,12,0.9099999999999999,0.9099999999999999,0.13842533996919518
75% Corpus,12,0.9099999999999999,symmetric,0.1473394791343951
75% Corpus,12,symmetric,0.01,0.2782419027575537
75% Corpus,12,symmetric,0.31,0.31701347705509086
75% Corpus,12,symmetric,0.61,0.2931407296073915
75% Corpus,12,symmetric,0.9099999999999999,0.2850985248694596
75% Corpus,12,symmetric,symmetric,0.28726179816534725
75% Corpus,12,asymmetric,0.01,0.304179659228724
75% Corpus,12,asymmetric,0.31,0.35240154568965615
75% Corpus,12,asymmetric,0.61,0.358644566561243
75% Corpus,12,asymmetric,0.9099999999999999,0.3971031567789201
75% Corpus,12,asymmetric,symmetric,0.32399341082607974
75% Corpus,13,0.01,0.01,0.2707420123001901
75% Corpus,13,0.01,0.31,0.2792592882011975
75% Corpus,13,0.01,0.61,0.2995958654474979
75% Corpus,13,0.01,0.9099999999999999,0.28940797150023123
75% Corpus,13,0.01,symmetric,0.2715984678861433
75% Corpus,13,0.31,0.01,0.2356595561179529
75% Corpus,13,0.31,0.31,0.23866313040596998
75% Corpus,13,0.31,0.61,0.24638400126574472
75% Corpus,13,0.31,0.9099999999999999,0.2478533551255198
75% Corpus,13,0.31,symmetric,0.2416227296860936
75% Corpus,13,0.61,0.01,0.2170274679972176
75% Corpus,13,0.61,0.31,0.19817131631501808
75% Corpus,13,0.61,0.61,0.1943180312668266
75% Corpus,13,0.61,0.9099999999999999,0.18523010203526435
75% Corpus,13,0.61,symmetric,0.21212655033593686
75% Corpus,13,0.9099999999999999,0.01,0.1389212808316757
75% Corpus,13,0.9099999999999999,0.31,0.13013650674261756
75% Corpus,13,0.9099999999999999,0.61,0.1317907821703574
75% Corpus,13,0.9099999999999999,0.9099999999999999,0.1278902789572605
75% Corpus,13,0.9099999999999999,symmetric,0.13899637550494665
75% Corpus,13,symmetric,0.01,0.30532928486710254
75% Corpus,13,symmetric,0.31,0.2765060182781316
75% Corpus,13,symmetric,0.61,0.29537977526687625
75% Corpus,13,symmetric,0.9099999999999999,0.2864369161799868
75% Corpus,13,symmetric,symmetric,0.2942695189121144
75% Corpus,13,asymmetric,0.01,0.3362917812960981
75% Corpus,13,asymmetric,0.31,0.45225061539415595
75% Corpus,13,asymmetric,0.61,0.43971831941412465
75% Corpus,13,asymmetric,0.9099999999999999,0.4166545526007963
75% Corpus,13,asymmetric,symmetric,0.38357883638267787
75% Corpus,14,0.01,0.01,0.35603594539551436
75% Corpus,14,0.01,0.31,0.32821209841262
75% Corpus,14,0.01,0.61,0.3331301786075488
75% Corpus,14,0.01,0.9099999999999999,0.34475924755792386
75% Corpus,14,0.01,symmetric,0.3126976996120752
75% Corpus,14,0.31,0.01,0.2685551901650668
75% Corpus,14,0.31,0.31,0.270136667298842
75% Corpus,14,0.31,0.61,0.26948855309616604
75% Corpus,14,0.31,0.9099999999999999,0.2739024949685382
75% Corpus,14,0.31,symmetric,0.2701536145013934
75% Corpus,14,0.61,0.01,0.19560506601066432
75% Corpus,14,0.61,0.31,0.18861775530751582
75% Corpus,14,0.61,0.61,0.1673521155328366
75% Corpus,14,0.61,0.9099999999999999,0.166973035867713
75% Corpus,14,0.61,symmetric,0.1955545774044225
75% Corpus,14,0.9099999999999999,0.01,0.14015148463934649
75% Corpus,14,0.9099999999999999,0.31,0.1345688022773221
75% Corpus,14,0.9099999999999999,0.61,0.133376284004577
75% Corpus,14,0.9099999999999999,0.9099999999999999,0.13017723283350527
75% Corpus,14,0.9099999999999999,symmetric,0.1302021437359379
75% Corpus,14,symmetric,0.01,0.32450996462610177
75% Corpus,14,symmetric,0.31,0.31508881632977065
75% Corpus,14,symmetric,0.61,0.31461708515421904
75% Corpus,14,symmetric,0.9099999999999999,0.31411682763124965
75% Corpus,14,symmetric,symmetric,0.3128722728417356
75% Corpus,14,asymmetric,0.01,0.36002294816181574
75% Corpus,14,asymmetric,0.31,0.4163470423344212
75% Corpus,14,asymmetric,0.61,0.3897008026711824
75% Corpus,14,asymmetric,0.9099999999999999,0.40854574938450267
75% Corpus,14,asymmetric,symmetric,0.3903261064786438
100% Corpus,2,0.01,0.01,0.328869119666686
100% Corpus,2,0.01,0.31,0.328869119666686
100% Corpus,2,0.01,0.61,0.328869119666686
100% Corpus,2,0.01,0.9099999999999999,0.328869119666686
100% Corpus,2,0.01,symmetric,0.328869119666686
100% Corpus,2,0.31,0.01,0.31558339375630695
100% Corpus,2,0.31,0.31,0.316183517091556
100% Corpus,2,0.31,0.61,0.316183517091556
100% Corpus,2,0.31,0.9099999999999999,0.331410915890611
100% Corpus,2,0.31,symmetric,0.33765636277094113
100% Corpus,2,0.61,0.01,0.30971854954046796
100% Corpus,2,0.61,0.31,0.309718549540468
100% Corpus,2,0.61,0.61,0.309718549540468
100% Corpus,2,0.61,0.9099999999999999,0.30971854954046796
100% Corpus,2,0.61,symmetric,0.30971854954046796
100% Corpus,2,0.9099999999999999,0.01,0.33080732790111345
100% Corpus,2,0.9099999999999999,0.31,0.33080732790111345
100% Corpus,2,0.9099999999999999,0.61,0.33080732790111345
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.33080732790111345
100% Corpus,2,0.9099999999999999,symmetric,0.33080732790111345
100% Corpus,2,symmetric,0.01,0.30971854954046807
100% Corpus,2,symmetric,0.31,0.30971854954046807
100% Corpus,2,symmetric,0.61,0.33080732790111345
100% Corpus,2,symmetric,0.9099999999999999,0.30971854954046807
100% Corpus,2,symmetric,symmetric,0.30971854954046807
100% Corpus,2,asymmetric,0.01,0.2921162970301441
100% Corpus,2,asymmetric,0.31,0.2756977458939792
100% Corpus,2,asymmetric,0.61,0.24519587683383814
100% Corpus,2,asymmetric,0.9099999999999999,0.2435917790652233
100% Corpus,2,asymmetric,symmetric,0.2665220422156396
100% Corpus,3,0.01,0.01,0.28437103897811167
100% Corpus,3,0.01,0.31,0.2882878021432052
100% Corpus,3,0.01,0.61,0.2868723763051548
100% Corpus,3,0.01,0.9099999999999999,0.2936835783033927
100% Corpus,3,0.01,symmetric,0.28661087793041684
100% Corpus,3,0.31,0.01,0.3153394767971908
100% Corpus,3,0.31,0.31,0.3138894841742207
100% Corpus,3,0.31,0.61,0.31388948417422075
100% Corpus,3,0.31,0.9099999999999999,0.30652311794744175
100% Corpus,3,0.31,symmetric,0.3117222753283842
100% Corpus,3,0.61,0.01,0.3048261981157106
100% Corpus,3,0.61,0.31,0.30592507037910627
100% Corpus,3,0.61,0.61,0.31508253663323516
100% Corpus,3,0.61,0.9099999999999999,0.3074748468755149
100% Corpus,3,0.61,symmetric,0.29762217691243764
100% Corpus,3,0.9099999999999999,0.01,0.27248763361214157
100% Corpus,3,0.9099999999999999,0.31,0.27786315365988107
100% Corpus,3,0.9099999999999999,0.61,0.27248763361214157
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.27248763361214157
100% Corpus,3,0.9099999999999999,symmetric,0.27786315365988107
100% Corpus,3,symmetric,0.01,0.3042342362807981
100% Corpus,3,symmetric,0.31,0.3042342362807981
100% Corpus,3,symmetric,0.61,0.31454437767845783
100% Corpus,3,symmetric,0.9099999999999999,0.30933722578663186
100% Corpus,3,symmetric,symmetric,0.31188301843159444
100% Corpus,3,asymmetric,0.01,0.3264118152323236
100% Corpus,3,asymmetric,0.31,0.29436813972912024
100% Corpus,3,asymmetric,0.61,0.27011608479495924
100% Corpus,3,asymmetric,0.9099999999999999,0.29770616385915344
100% Corpus,3,asymmetric,symmetric,0.28821591218521725
100% Corpus,4,0.01,0.01,0.36895634287644535
100% Corpus,4,0.01,0.31,0.2811917706861918
100% Corpus,4,0.01,0.61,0.3333525609947856
100% Corpus,4,0.01,0.9099999999999999,0.33535860204127943
100% Corpus,4,0.01,symmetric,0.3203957392074088
100% Corpus,4,0.31,0.01,0.36834302595332297
100% Corpus,4,0.31,0.31,0.36519609121487073
100% Corpus,4,0.31,0.61,0.37059740318057743
100% Corpus,4,0.31,0.9099999999999999,0.3721069348132854
100% Corpus,4,0.31,symmetric,0.3680240131294833
100% Corpus,4,0.61,0.01,0.33006700499285735
100% Corpus,4,0.61,0.31,0.316660149298323
100% Corpus,4,0.61,0.61,0.31871630665071904
100% Corpus,4,0.61,0.9099999999999999,0.3264379812157174
100% Corpus,4,0.61,symmetric,0.33835770203690707
100% Corpus,4,0.9099999999999999,0.01,0.27714398221331293
100% Corpus,4,0.9099999999999999,0.31,0.27155629197384373
100% Corpus,4,0.9099999999999999,0.61,0.271303024626913
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.26371589683073504
100% Corpus,4,0.9099999999999999,symmetric,0.27155629197384373
100% Corpus,4,symmetric,0.01,0.3690563669405027
100% Corpus,4,symmetric,0.31,0.3579701369210717
100% Corpus,4,symmetric,0.61,0.38130622657278557
100% Corpus,4,symmetric,0.9099999999999999,0.35713722103394824
100% Corpus,4,symmetric,symmetric,0.3764774242509322
100% Corpus,4,asymmetric,0.01,0.345895215172368
100% Corpus,4,asymmetric,0.31,0.4108073340984326
100% Corpus,4,asymmetric,0.61,0.4105597643525716
100% Corpus,4,asymmetric,0.9099999999999999,0.3502575324368411
100% Corpus,4,asymmetric,symmetric,0.399402354753815
100% Corpus,5,0.01,0.01,0.27685622008339555
100% Corpus,5,0.01,0.31,0.34036910784779617
100% Corpus,5,0.01,0.61,0.354024046655634
100% Corpus,5,0.01,0.9099999999999999,0.3508964152732502
100% Corpus,5,0.01,symmetric,0.3292317310464737
100% Corpus,5,0.31,0.01,0.3377361798224173
100% Corpus,5,0.31,0.31,0.3320037975274578
100% Corpus,5,0.31,0.61,0.32596136432069567
